C05D2.5	AT Hook x2
C07H6.7	HD - HOX
C08C3.3	HD - HOX
C08F8.8	ZF - NHR
C09F5.3	ZF - C2H2 - 6 fingers
C09G12.1	HD - PRD
C09G9.6	ZF - CCCH - 2 domains
C09G9.7	Paired Domain - NPAX
C10A4.8	ZF - C2H2 - 3 fingers
C10G8.6	HD - SIX
C10G8.7	HD - SIX
C12D5.2	ZF - NHR
C12D5.8	ZF - NHR
C13C4.1	ZF - NHR
C13C4.2	ZF - NHR
C13C4.3	ZF - NHR
C13G5.1	HD - HOX
C15C8.2	bHLH
C16A3.4	ZF - C2H2 - 3 fingers
C16A3.7	ZF - NF-X1 - 10 domains
C16C2.1	HD - NK
C17A2.1	ZF - NHR
C17A2.8	ZF - NHR
C17C3.10	bHLH
C17C3.7	bHLH
C17C3.8	bHLH - 2 domains
C17D12.1	ZF - DHHC 
C17E4.6	YL1 TF
C17E7.1	ZF - NHR
C17E7.6	ZF - NHR
C17E7.7	ZF - NHR
C17G10.4	ZF - THAP
C17H12.9	HD - CUT
C18A3.8	bHLH
C18B12.3	HD - PRD
C18D1.1	ZF - C2H2 - 3 fingers
C18F3.4	HD-like
C24A1.2	WH - ETS
C24G6.4	ZF - NHR
C24H11.3	T-box
C25A1.11	bHLH
C25A1.2	WH - Fork Head
C25B8.6	ZF - NHR
C25E10.1	ZF - NHR
C25G4.4	"AT Hook, SAND"
C26B2.3	ZF - NHR
C26B2.4	ZF - NHR
C26C6.5	p66 family
C26E1.3	HD
C26E6.2	ZF - FLYWCH
C27A12.2	ZF - C2H2 - 6 fingers
C27A12.3	ZF - C2H2 - 6 fingers
C27A12.5	HD - NK
C27A2.7	ZF - C2H2
C27B7.4	AT Hook
C27C12.6	ZF - DM
C27C7.3	ZF - NHR
C27C7.4	ZF - NHR
C27D6.4	bZIP
C28A5.4	HD - NK
C28D4.1	ZF - NHR
C28D4.9	ZF - NHR
C28G1.4	ZF - C2H2 - 5 fingers
C28H8.9	ZF - C2H2 - 1 finger
C29E6.5	ZF - NHR
C29F7.4	WH - Fork Head
C29F7.5	WH - Fork Head
C30A5.7	HD - POU
C30G4.7	TSC-22/dip/bun
C32C4.5	ZF - DM
C32E12.5	HMG box
C32F10.5	HMG box
C32F10.6	ZF - NHR
C33A11.4	WH - ETS
C33D12.1	HD - NK
C33D12.7	HD - NK
C33D3.1	ZF - GATA
C33G8.10	ZF - NHR
C33G8.11	ZF - NHR
C33G8.12	ZF - NHR
C33G8.6	ZF - NHR
C33G8.7	ZF - NHR
C33G8.8	ZF - NHR
C33G8.9	ZF - NHR
C33H5.17	ZF - CCCH
C34B4.2	WH - Fork Head
C34D1.1	ZF - DM
C34D1.2	ZF - DM
C34D1.5	bZIP
C34D10.2	ZF - CCCH - 2 domains
C34E10.7	bHLH
C34F6.9	AT Hook
C34H3.2	ZF - C2H2 - 3 fingers
C35D6.4	ZF - CCCH - 2 domains
C36F7.1	HD - TALE
C37E2.4	HD - PRD
C37E2.5	HD - PRD
C37F5.1	WH - ETS
C38C3.9	ZF - NHR
C38D4.7	ZF - C2H2 - 1 finger
C39B10.6	ZF - GATA
C39E6.4	HD - NK
C40H5.5	HD - LIM
C41G6.5	ZF - NHR
C41G7.5	bHLH
C42D8.4	WH - ETS
C43H6.7	ZF - DHHC 
C43H6.8	bHLH
C44C10.8	bHLH
C44F1.2	"AT Hook, SAND"
C45E1.1	ZF - NHR
C45E5.6	ZF - NHR
C46E10.8	ZF - C2H2 - 1 finger
C46E10.9	ZF - C2H2 - 4 fingers
C46F11.3	MADF
C47C12.3	ZF - C2H2 - 3 fingers
C47F8.2	ZF - NHR
C47F8.8	ZF - NHR
C47G2.2	WH - Fork Head
C48E7.11	bZIP
C48E7.3	bZIP
C49C3.5	HD - TALE
C49D10.2	ZF - NHR
C49D10.9	ZF - NHR
C50B6.14	ZF - NHR
C50B6.8	ZF - NHR
C52B9.2	WH - ETS x2
C52E12.1	ZF - C2H2 - 1 finger
C52E12.6	ZF - C2H2 - 4 fingers
C53D5.4	ZF - C2H2 - 1 finger
C54C8.1	ZF - NHR
C54E10.5	ZF - NHR
C54F6.8	ZF - NHR
C55B7.12	ZF - C2H2 - 4 fingers
C56E10.4	ZF - NHR
D1005.3	bZIP
D1007.1	HD - PRD
D1014.8	MYB - 2 domains 
D1046.2	ZF - C2H2 - 1 finger
D1081.8	MYB - 2 domains
D2021.2	ZF - DHHC 
D2030.7	ZF - C2H2 - 1 finger
DY3.3	bHLH
E02H1.7	ZF - NHR
E02H9.8	ZF - NHR
F01D4.6	HD - LIM
F02E9.2	COLD BOX
F07C3.10	ZF - NHR
F08C6.7	ZF - C2H2 - 3 fingers
F09C6.9	ZF - NHR
F09F3.10	ZF - NHR
F09G2.9	AT Hook x3
F10C1.5	ZF - DM
F10E7.11	MYB
F11A10.2	ZF - C2H2 - 1 finger
F11C1.6	ZF - NHR
F12E12.5	ZF - C2H2 - 7 fingers
F13C5.2	AT Hook x3
F13G11.1	ZF - DM
F13G3.1	ZF - C2H2 - 3 fingers
F13H6.1	ZF - C2H2 - 3 fingers
F14A5.1	ZF - NHR
F14H3.11	ZF - NHR
F16B12.8	ZF - NHR
F16B4.1	ZF - NHR
F16B4.11	ZF - NHR
F16B4.12	ZF - NHR
F16B4.9	ZF - NHR
F16H11.4	HD - NK
F16H11.5	ZF - NHR
F17A2.5	HD - TALE
F18A1.3	ZF - C2H2 - 1 finger
F18A1.4	ZF - C2H2 - 1 finger
F19F10.5	WH - ETS
F20D1.4	PUR
F20D12.6	HD - HOX
F21A10.2	p53
F21A9.2	ZF - C2H2 - 2 fingers
F21D12.1	ZF - NHR
F21D12.5	Paired Domain - NPAX
F21D5.9	ZF - C2H2 - 1 finger
F21G4.5	ZF - C2H2 - 1 finger
F21H11.3	T-box
F22A3.1	WH - ETS
F22A3.5	HD -TALE
F22D3.1	HD - CUT
F22D6.2	ZF - A20
F23A7.6	ZF - C2H2 - 1 finger
F23C8.4	ZF - C2H2 - 1 finger
F23F1.1	CBF
F23F12.9	bZIP
F25D7.3	ZF - C2H2 - 4 fingers
F25E2.5	MH1
F25E5.6	ZF - NHR
F26A1.2	WH - Fork Head
F26A10.2	ZF - C2H2 - 3 fingers
F26B1.7	WH - Fork Head
F26C11.2	HD - PRD
F26D12.1	"ZF - C2H2 - 1 finger, WH - Fork Head"
F26F4.8	ZF - C2H2 - 6 fingers
F27D4.4	ZF - CCCH - 2 domains
F27D4.6	ZF - C2H2 - 1 finger
F27E5.2	"HD - PRD, Paired Domain - FULL"
F28B12.2	TEA/ATTS
F28C6.1	AP-2
F28C6.2	AP-2
F28H6.2	HD - POU
F29F11.5	HD - NK
F29G9.4	bZIP
F31A3.2	bHLH - 2 domains
F31A3.4	bHLH - 2 domains
F31E8.3	HD - NK
F31F4.12	ZF - NHR
F32A11.6	ZF - CCCH - 2 domains
F32A5.1	"ZF - C2H2 - 1 finger, MYB"
F32H2.1	MYB - 5 domains
F33A8.3	COLD BOX
F33D11.12	ZF - DHHC 
F33D11.4	HD - HOX
F33D4.1	ZF - NHR
F33E11.1	ZF - NHR
F33H1.1	WH - RFX 
F33H1.4	"ZF - C2H2 - 1 finger, AT Hook x3"
F34D10.5	ZF - C2H2 - 4 fingers
F35E8.12	ZF - NHR
F35H8.3	ZF - C2H2 - 7 fingers
F36A4.14	ZF - NHR
F36D1.1	MADF
F36D3.2	ZF - NHR
F36F12.8	ZF - C2H2 - 2 fingers
F37A4.8	"AT Hook, MYB x2"
F37B4.10	ZF - C2H2 - 1 finger
F37D6.2	ZF - C2H2 - 5 fingers
F37D6.6	MH1
F37H8.1	ZF - C2H2 - 1 finger
F38A5.13	MYB - 2 domains
F38A6.1	WH - Fork Head
F38A6.3	bHLH
F38C2.2	bHLH
F38C2.5	ZF - CCCH - 2 domains
F38C2.7	ZF - CCCH - 2 domains
F38H12.3	ZF - NHR
F39B2.1	ZF - C2H2 - 9 fingers
F40E10.2	HMG box
F40F9.7	CBF
F40G9.11	bHLH
F40G9.14	ZF - C2H2 - 1 finger
F40H3.4	WH - Fork Head
F40H6.4	T-box
F41B5.10	ZF - NHR
F41B5.9	ZF - NHR
F41D3.3	ZF - NHR
F42G2.6	HD
F43C1.4	ZF - NHR
F43G9.11	ZF - C2H2 - 4 fingers
F43G9.12	GC-rich DNA-binding domain 
F44A2.4	ZF - NHR
F44A6.2	ZF - NHR
F44B9.6	"ZF - C2H2 - 1 finger, ZF - THAP"
F44C4.2	ZF - NHR
F44C8.10	ZF - NHR
F44C8.11	ZF - NHR
F44C8.2	ZF - NHR
F44C8.3	ZF - NHR
F44C8.4	ZF - NHR
F44C8.5	ZF - NHR
F44C8.6	ZF - NHR
F44C8.8	ZF - NHR
F44C8.9	ZF - NHR
F44E2.7	ZF - C2H2 - 2 fingers
F44E7.8	ZF - NHR
F44G3.9	ZF - NHR
F45B8.4	ZF - C2H2 - 5 fingers
F45C12.15	HD - POU - 2 domains
F45C12.2	HD
F45E4.2	PUR
F45E4.9	HMG box - 2 domains
F45E6.2	bZIP
F45H11.1	ZF - C2H2 - 1 finger
F45H11.4	bZIP
F46B6.7	ZF - C2H2 - 4 fingers
F46C8.5	HD - LIM
F46F11.2	COLD BOX
F46F3.1	HD - NK
F46G10.6	bHLH
F47C10.1	ZF - NHR
F47C10.3	ZF - NHR
F47C10.4	ZF - NHR
F47C10.7	ZF - NHR
F47D12.4	HMG box - 2 domains
F47G4.6	HMG box
F48B9.5	Paired Domain - NPAX
F48D6.3	bHLH
F48G7.11	ZF - NHR
F49E10.5	ZF - THAP
F49E12.6	WH - TDP - 2 domains
F49E8.2	ZF - C2H2 - 1 finger
F49H12.1	ZF - C2H2 - 5 fingers
F52B5.7	ZF - C2H2 - 1 finger
F52E1.1	ZF - CCCH - 2 domains
F52E10.1	ZF - C2H2 - 2 fingers
F52F12.4	ZF - C2H2 - 5 fingers
F53A2.5	CBF
F53B2.6	WH
F53B3.1	ZF - C2H2 - 6 fingers
F53B7.2	ZF - C2H2 - 1 finger
F53F8.1	ZF - C2H2 - 3 fingers
F53H10.2	"ZF - C2H2 - 1 finger, MYB "
F53H4.5	SAND
F54A5.1	HD - HNF
F54D1.4	ZF - NHR
F54F2.5	ZF - C2H2 - 4 fingers
F54F2.9	MYB - 2 domains
F55B11.4	ZF - C2H2 - 1 finger
F55C5.11	ZF - C2H2
F55H12.6	ZF - C2H2 - 3 fingers
F56A12.1	HD - SIX
F56D1.1	ZF - C2H2 - 4 fingers
F56E3.4	ZF - NHR
F56F11.3	ZF - C2H2 - 3 fingers
F57A10.5	ZF - NHR
F57A10.6	ZF - NHR
F57A8.5	ZF - NHR
F57C12.3	bHLH
F57C9.4	ZF - C2H2 - 3 fingers
F57G8.6	ZF - NHR
F58A4.11	ZF - BED
F58A4.7	bHLH
F58E10.2	ZF - GATA
F58E10.5	ZF - GATA
F58G1.2	ZF - C2H2 - 6 fingers
F58G6.5	ZF - NHR
F59B10.1	p53
F59C6.2	ZF - DHHC 
F59E11.10	ZF - NHR
F59E11.11	ZF - NHR
H01A20.1	ZF - NHR
H10E21.3	ZF - NHR
H12C20.3	ZF - NHR
H12C20.6	ZF - NHR
H14A12.4	T-box
H20J04.3	MADF - 2 domains
H21P03.1	HTH
H22D14.1	ZF - NHR
H32C10.3	ZF - DHHC 
K01B6.1	ZF - C2H2 - 1 finger
K01H12.3	ZF - NHR
K02B12.1	HD - POU
K02B9.4	ZF - GATA
K02D7.2	ZF - C2H2 - 4 fingers
K02F3.4	bZIP
K02G10.1	ZF - DHHC 
K03A11.3	HD - NK
K03C7.2	WH - Fork Head
K03E6.1	HD - LIM
K04C1.3	"ZF - C2H2 - 1 finger, WH - Fork Head"
K04C2.6	ZF - GATA
K05F1.5	ZF - C2H2 - 1 finger
K06A1.1	AP-2
K06B4.1	ZF - NHR
K06B4.10	ZF - NHR
K06B4.11	ZF - NHR
K06B4.2	ZF - NHR
K06B4.5	ZF - NHR
K06B4.6	ZF - NHR
K06B4.7	ZF - NHR
K06B4.8	ZF - NHR
K06B9.5	Paired Domain - FULL
K07C11.1	Paired Domain - FULL
K08A2.5	ZF - NHR
K08A8.2	HMG box
K08B4.1	IPT/TIG
K08F8.2	bZIP - 2 domains
K08H2.8	ZF - NHR
K09A11.1	ZF - BED
K10B3.5	ZF - C2H2 - 2 fingers
K10C3.6	ZF - NHR
K10G6.1	WH - Fork Head
K11D12.12	ZF - C2H2 - 1 finger
K11E4.5	ZF - NHR
K11G9.4	ZF - C2H2 - 1 finger
K11H3.4	ZF - C2H2 - 1 finger
K12H4.1	HD - PROX
K12H6.1	ZF - NHR
K12H6.12	ZF - C2H2 - 1 finger
M01E11.5	COLD BOX
M02H5.1	ZF - NHR
M02H5.3	ZF - NHR
M02H5.4	ZF - NHR
M02H5.5	ZF - NHR
M02H5.6	ZF - NHR
M02H5.7	ZF - NHR
M04B2.1	ZF - C2H2 - 5 fingers
M04G12.4	ZF - C2H2 - 1 finger
M05B5.5	bHLH
M142.4	HD - HOX
M18.8	ZF - DHHC 
M6.3	HD - NK
R02C2.4	ZF - NHR
R02D1.1	ZF - NHR
R02D3.7	ZF - C2H2 - 1 finger
R03C1.3	HD - NK
R03E1.4	HD
R03E9.1	bHLH
R04A9.5	HD
R04B5.3	ZF - NHR
R04B5.4	ZF - NHR
R05D11.1	MH1
R05D3.3	ZF - C2H2 - 1 finger
R06C7.9	ZF - C2H2 - 5 fingers
R06F6.6	HD - HOX
R07B7.14	ZF - NHR
R07B7.15	ZF - NHR
R07E5.5	ZF - C2H2 - 1 finger
R07H5.10	bZIP
R08B4.2	HD - PRD
R08E3.4	ZF - C2H2 - 8 fingers
R09G11.2	ZF - NHR
R11E3.5	ZF - NHR
R11E3.6	ZF - C2H2 - 9 fingers
R11G11.1	ZF - NHR
R11G11.2	ZF - NHR
R12B2.1	MH1
R13.2	Paired Domain - NPAX
R13.4	ZF - MIZ
R13A5.5	HD - HOX
R13D11.8	ZF - NHR
R13F6.5	ZF - DHHC 
R13F6.9	MH1
R144.3	ZF - C2H2 - 2 fingers
R151.8	MYB
R53.3	ZF - C2H2 - 4 fingers
R74.3	bZIP
T01B10.4	ZF - NHR
T01C1.2	HTH
T01E8.2	bHLH - 2 domains
T01G6.2	ZF - NHR
T01G6.4	ZF - NHR
T01G6.5	ZF - NHR
T01G6.6	ZF - NHR
T01G6.7	ZF - NHR
T01G6.8	ZF - NHR
T03E6.3	ZF - NHR
T03F6.2	ZF - C2H2 - 2 fingers
T03G6.2	ZF - NHR
T04C10.4	bZIP
T04G9.1	AT Hook
T05A10.1	ZF - C2H2 - 7 fingers
T05A7.4	AT Hook x3
T05B4.2	ZF - NHR
T05C1.4	IPT/TIG
T05C12.6	WH
T05G11.1	ZF - C2H2 - 6 fingers
T05G5.2	bHLH
T06C12.13	ZF - NHR
T06C12.6	ZF - NHR
T06C12.7	ZF - NHR
T07C12.11	MADF
T07C4.6	T-box
T07C5.5	ZF - NHR
T07D10.3	ZF - C2H2 - 4 fingers
T07F8.4	MYB
T07G12.11	ZF - C2H2 - 1 finger
T07G12.12	ZF - C2H2 - 1 finger
T07G12.6	ZF - C2H2 - 1 finger
T08D10.1	CBF
T08H4.3	WH - ETS
T09A12.4	ZF - NHR
T09D3.4	ZF - NHR
T10B11.3	ZF - C2H2 - 1 finger
T10D4.6	AT Hook
T11G6.8	ZF - CCCH
T12C9.1	ZF - NHR
T12C9.5	ZF - NHR
T13C5.4	HD - PRD
T13F3.2	ZF - NHR
T13F3.3	ZF - NHR
T14F9.5	bHLH
T14G12.4	WH - Fork Head
T15H9.3	bHLH
T18D3.2	ZF - NHR
T18D3.7	TSC-22/dip/bun
T19A5.4	ZF - NHR
T19B10.11	bHLH
T19E7.2	bZIP
T19H12.8	ZF - NHR
T20B12.6	bHLH
T20B12.8	HMG box
T20F7.1	ZF - C2H2 - 2 fingers
T20H4.2	ZF - C2H2 - 2 fingers
T21B4.17	HD - HOX - 2 domains
T22B3.1	ZF - BED x2
T22B7.1	HMG box
T22C8.3	ZF - C2H2 - 1 finger
T22C8.4	ZF - C2H2 - 1 finger
T22C8.5	ZF - C2H2 - 3 fingers
T22E7.2	ZF - DHHC 
T22H6.6	HMG box
T22H9.4	ZF - DM - 2 domains
T23F11.4	ZF - C2H2 - 1 finger
T23G4.1	ZF - C2H2 - 1 finger
T23G5.6	AT Hook
T23G7.1	WH - TDP
T23H4.2	ZF - NHR
T24A6.8	ZF - NHR
T24H10.7	bZIP
T26A5.8	CBF
T26A8.4	ZF - CCCH - 2 domains
T26C11.5	HD - CUT
T26H2.9	ZF - NHR
T27A1.6	T-box
T27A8.2	WH - Fork Head
T27B7.1	ZF - NHR
T27B7.2	ZF - NHR
T27B7.3	ZF - NHR
T27B7.4	ZF - NHR
T27B7.5	ZF - NHR
T27B7.6	ZF - NHR
T27F2.4	bZIP
T28H11.4	WH - Fork Head
VC5.5	ZF - NHR
VC5.6	ZF - NHR
W01D2.2	ZF - NHR
W02A2.7	ZF - CCCH - 2 domains
W02C12.3	bHLH
W02D7.6	ZF - C2H2 - 3 fingers
W02D9.3	HMG box
W03A3.1	HD - PRD
W03C9.4	ZF - C2H2 - 5 fingers
W03C9.7	ZF - CCCH - 2 domains
W03D2.1	AT Hook x3
W03F9.2	ZF - C2H2 - 2 fingers
W04D2.4	ZF - C2H2 - 1 finger
W05B5.3	ZF - NHR
W05E10.3	HD - SIX
W06H12.1	ZF - C2H2 - 2 fingers
W07G1.3	bZIP
W08E12.1	bZIP
W09C2.1	ZF - GATA - 2 domains
W10C8.2	HMG box
W10D5.1	MADS box
W10D9.4	CBF
Y104H12A.1	ZF - NHR
Y105C5A.15	ZF - BED
Y105C5B.29	bHLH
Y105E8A.17	MYB
Y106G6H.4	MADF
Y111B2A.10	ZF - C2H2 - 6 fingers
Y113G7B.23	MYB
Y116A8C.19	ZF - CCCH - 2 domains
Y116A8C.20	ZF - CCCH - 2 domains
Y116A8C.22	AT Hook x5
Y116A8C.35	ZF - CCCH 
Y11D7A.13	ZF - FLYWCH
Y15E3A.1	ZF - NHR
Y16B4A.1	IPT/TIG
Y17D7A.1	ZF - NHR
Y17D7A.3	ZF - NHR
Y17D7B.1	ZF - NHR
Y17G7A.1	AT Hook x7
Y17G7B.22	ZF - C2H2 - 2 fingers
Y22D7AL.16	ZF - C2H2 - 2 fingers
Y22F5A.1	ZF - NHR
Y37E11B.1	ZF - C2H2 - 3 fingers
Y37F4.6	ZF - C2H2 - 1 finger
Y38E10A.18	ZF - NHR
Y38H8A.5	ZF - C2H2 - 5 fingers
Y39A1A.5	ZF - A20
Y39A1C.3	COLD BOX
Y39A3CR.6	bHLH
Y39B6A.17	ZF - NHR
Y39E4B.2	AT Hook
Y39E4B.7	ZF - DHHC 
Y40B10A.8	ZF - NHR
Y40B1A.4	ZF - C2H2 - 3 fingers
Y41C4A.4	bZIP
Y41D4B.21	ZF - NHR
Y41D4B.27	ZF - NHR
Y41D4B.7	ZF - NHR
Y41D4B.8	ZF - NHR
Y41D4B.9	ZF - NHR
Y42H9AR.3	ZF - C2H2 - 1 finger
Y43F8C.10	ZF - DM
Y44E3B.1	bZIP
Y45G5AM.1	ZF - NHR
Y46H3D.5	ZF - NHR
Y46H3D.6	ZF - NHR
Y46H3D.7	ZF - NHR
Y47D3A.10	T-box
Y47D3A.12	T-box
Y47D3B.7	bHLH
Y48A6C.1	ZF - C2H2 - 1 finger
Y48B6A.14	HMG box
Y48C3A.12	TSC-22/dip/bun
Y48C3A.17	WH - TDP
Y48E1B.7	ZF - C2H2 - 1 finger
Y48G8AL.10	ZF - C2H2 - 12 fingers
Y48G8AL.9	ZF - C2H2 - 2 fingers
Y48G9A.11	ZF - C2H2 - 2 fingers
Y49E10.14	ZF - CCCH - 2 domains
Y51A2D.17	ZF - NHR
Y51H4A.17	STAT
Y51H4A.4	bZIP
Y52B11A.9	ZF - C2H2 - 1 finger
Y53C10A.12	WH - HSF
Y53C10A.3	WH - HSF - 2 domains
Y53C12B.5	ZF - DM - 2 domains
Y53C12C.1	"HD - PRD, Paired Domain - CPAX"
Y53F4B.3	CBF
Y53G8AR.9	ZF - CCCH - 2 domains
Y53H1A.2	ZF - C2H2 - 1 finger
Y54F10AM.1	ZF - NHR
Y54F10AM.4	HD - CUT
Y55F3AM.14	ZF - C2H2 - 9 fingers
Y55F3AM.6	ZF - CCCH - 3 domains
Y55F3BR.5	MADF
Y56A3A.18	ZF - C2H2 - 1 finger
Y56A3A.28	ZF - C2H2 - 2 fingers
Y57A10A.31	ZF - C2H2 - 1 finger
Y59A8B.13	ZF - C2H2 - 3 fingers
Y59E9AR.3	T-box
Y5F2A.4	ZF - C2H2 - 5 fingers
Y5H2A.2	ZF - NHR
Y5H2B.2	ZF - NHR
Y60A9.3	ZF - CCCH - 2 domains
Y62E10A.17	AP-2
Y65B4BR.9	HD - NK
Y66A7A.5	HD - 2 domains
Y67A6A.2	ZF - NHR
Y67D8A.3	ZF - DM
Y67H2A.10	ZF - C2H2 - 3 fingers
Y69A2AR.29	bHLH
Y70C5C.6	ZF - NHR
Y71H2AM.17	HMG box
Y73F8A.16	T-box
Y73F8A.17	T-box
Y74C9A.4	"ZF - GATA, MYB (2x)"
Y75B8A.1	HD - HOX
Y75B8A.2	HD - HOX
Y75B8A.29	bZIP
Y75B8A.35	bZIP
Y79H2A.3	ZF - C2H2 - 3 fingers
Y80D3A.4	ZF - NHR
Y82E9BR.1	ZF - C2H2 - 2 fingers
Y94H6A.1	ZF - NHR
Y95B8A.7	ZF - C2H2 - 2 fingers
ZC123.3	"ZF - C2H2 - 9 fingers, HD - 3 domains"
ZC204.2	HD - HOX - 2 domains
ZC247.3	HD - LIM
ZC328.2	ZF - C2H2 - 3 fingers
ZC376.4	HD
ZC376.7	bZIP
ZC395.8	ZF - C2H2 - 3 fingers
ZC410.1	ZF - NHR
ZC416.1	MADF
ZC513.6	ZF - CCCH - 2 domains
ZC64.3	HD - POU
ZC64.4	HD - LIM
ZK1025.10	ZF - NHR
ZK1025.9	ZF - NHR
ZK1037.5	ZF - NHR
ZK1193.5	HD - 2 domains
ZK1290.4	MH1
ZK177.3	ZF - C2H2 - 1 finger
ZK185.1	ZF - C2H2 - 1 finger
ZK265.4	HD - PRD - 2 domains
ZK287.6	ZF - C2H2 - 3 fingers
ZK328.8	T-box
ZK337.2	ZF - C2H2 - 4 fingers
ZK370.2	MH1
ZK380.1	T-box
ZK418.1	ZF - NHR
ZK455.6	ZF - NHR
ZK488.2	ZF - NHR
ZK488.4	ZF - NHR
ZK546.5	ZF - C2H2 - 3 fingers
ZK6.4	ZF - NHR
ZK6.5	ZF - NHR
ZK616.10	ZF - C2H2 - 6 fingers
ZK652.5	HD - NK
ZK652.6	ZF - C2H2 - 1 finger
ZK662.3	ZF - NHR
ZK673.4	ZF - BED
ZK682.4	bHLH
ZK686.4	ZF - C2H2 - 1 finger
ZK686.5	ZF - C2H2 - 3 fingers
ZK697.2	ZF - NHR
ZK757.4	ZF - DHHC 
ZK867.1	ZF - C2H2 - 4 fingers
ZK892.7	ZF - C2H2 - 2 fingers
ZK909.4	bZIP
ZK993.1	HD - PRD
B0280.8	ZF - NHR
C04F5.9	ZF - C2H2 - 3 fingers
C06E2.1	ZF - C2H2 - 1 finger
C08C3.1	HD - HOX
C11G6.4	ZF - NHR
C17E7.8	ZF - NHR
C38D4.6	HD - HOX
C44B9.4	AT Hook x2
C48D5.1	ZF - NHR
F10B5.3	ZF - C2H2 - 4 fingers
F11A1.3	ZF - NHR
F13D11.2	ZF - C2H2 - 9 fingers
F14F3.1	"HD - PRD, Paired Domain - FULL"
F15C11.1	ZF - C2H2 - 7 fingers
F16B12.6	AT Hook
F17A9.3	bZIP
F17A9.6	HD - CUT
F18A1.2	ZF - C2H2 - 1 finger
F19F10.1	WH - ETS
F26H11.2	AT Hook
F26H9.2	RPEL - 2 domains
F28F9.1	"ZF - C2H2 - 4 fingers, HD - ZFHD"
F31E3.1	HD - TALE
F32B6.1	ZF - NHR
F40F8.7	ZF - C2H2 - 3 fingers
F41D3.1	ZF - NHR
F52C12.5	ZF - GATA
F55A8.1	ZF - GATA
F55B12.1	HD - NK
F58E6.10	HD - PRD
JC8.6	TESMIN x2
K06A1.4	ZF - NHR
K10D2.3	ZF - C2H2 - 1 finger
M03D4.4	ZF - C2H2 - 6 fingers
R07B1.1	HD - NK
R13H8.1	"WH - Fork Head, AT Hook"
T02E1.3	ZF - CCCH - 2 domains
T07C4.2	T-box
T07G12.10	ZF - C2H2 - 1 finger
T12C9.6	ZF - NHR
T14F9.4	ZF - FLYWCH
T23D8.8	ARID/BRIGHT
